225,30,[[78, -1.0], [75, -1.0], [8, -1.0], [163, -0.5], [86, 1.0], [89, 0.5], [73, 1.0], [57, 1.0], [206, 1.0], [60, 1.0], [207, -0.5], [24, 1.0], [51, 0.5], [123, 1.0], [68, -1.0], [72, 1.0], [74, -1.0], [160, -1.0], [125, 0.0], [31, -1.0], [120, 0.5], [53, 1.0], [25, 1.0], [66, 0.0], [58, -1.0], [216, -1.0], [63, -1.0], [200, -1.0], [56, 1.0], [165, -1.0]]
182,30,[[78, -1.0], [75, 1.0], [92, -1.0], [106, 1.0], [183, -1.0], [73, -1.0], [104, 1.0], [154, -1.0], [179, 1.0], [65, 1.0], [156, 1.0], [57, 1.0], [81, -0.5], [23, 1.0], [85, -1.0], [29, 1.0], [216, -0.5], [171, -1.0], [69, 1.0], [204, 0.0], [41, 1.0], [173, -1.0], [105, 1.0], [145, -1.0], [197, -1.0], [131, 0.0], [48, 0.0], [130, 1.0], [38, -1.0], [175, 0.0]]
645,30,[[78, 0.0], [79, -1.0], [83, -1.0], [8, -1.0], [216, 1.0], [10, 1.0], [60, -1.0], [38, 1.0], [110, -1.0], [58, 1.0], [67, 1.0], [148, -1.0], [62, -1.0], [186, 1.0], [46, 0.5], [24, 1.0], [146, 1.0], [82, -0.5], [106, -1.0], [187, 1.0], [208, -1.0], [157, 0.5], [75, -1.0], [203, 0.0], [149, -1.0], [45, -1.0], [76, 1.0], [1, -1.0], [176, 0.5], [57, 0.5]]
919,30,[[78, -0.5], [8, -1.0], [75, -1.0], [216, 0.0], [83, 1.0], [62, -1.0], [123, 1.0], [167, 1.0], [38, 1.0], [76, -1.0], [171, 1.0], [21, 1.0], [192, -1.0], [1, 0.5], [164, -1.0], [152, 1.0], [110, -1.0], [200, -1.0], [170, 0.0], [67, 1.0], [57, -1.0], [72, -1.0], [107, 0.0], [190, 1.0], [54, 1.0], [103, -1.0], [24, -1.0], [52, 1.0], [194, -1.0], [37, 0.5]]
444,30,[[78, -1.0], [75, -1.0], [8, -1.0], [163, -1.0], [89, 0.5], [202, 0.5], [150, 1.0], [88, -1.0], [177, 1.0], [81, -1.0], [211, -1.0], [173, 1.0], [151, -1.0], [54, 1.0], [86, 1.0], [123, -1.0], [68, -1.0], [204, -1.0], [207, 1.0], [57, 1.0], [213, -1.0], [24, 1.0], [148, -1.0], [179, -1.0], [76, -1.0], [114, -1.0], [90, 0.5], [205, 1.0], [21, -1.0], [85, 1.0]]
928,30,[[78, 1.0], [154, 1.0], [160, -1.0], [62, -0.5], [15, 0.0], [85, 0.0], [70, -0.5], [170, 1.0], [159, -1.0], [158, -0.5], [60, 1.0], [19, 1.0], [169, -1.0], [4, 0.5], [181, 0.0], [195, -1.0], [68, 0.5], [80, 1.0], [215, 0.0], [191, -1.0], [145, 0.0], [86, -1.0], [149, 0.0], [9, 0.0], [156, -1.0], [22, 0.0], [164, 1.0], [204, 0.0], [63, -1.0], [197, -0.5]]
276,30,[[78, 1.0], [154, -1.0], [152, 0.0], [70, 1.0], [168, 0.0], [111, 0.0], [69, -1.0], [20, 1.0], [211, -1.0], [50, 1.0], [180, 0.5], [147, -1.0], [17, 1.0], [15, -1.0], [191, -1.0], [74, 1.0], [144, -1.0], [209, 1.0], [87, -0.5], [61, 1.0], [118, -1.0], [188, 0.5], [163, 0.5], [186, 0.5], [160, -1.0], [63, -1.0], [142, 0.5], [193, 0.5], [116, 0.0], [33, -1.0]]
157,30,[[78, -1.0], [75, 1.0], [92, -1.0], [106, -1.0], [1, 1.0], [63, -1.0], [185, 1.0], [183, 1.0], [74, -1.0], [73, 1.0], [68, 1.0], [66, 1.0], [128, 1.0], [193, -0.5], [81, -1.0], [191, 1.0], [195, -1.0], [38, 1.0], [56, 0.5], [149, 0.5], [45, -1.0], [65, 1.0], [116, -1.0], [110, -1.0], [24, 1.0], [43, 1.0], [103, 0.0], [194, 1.0], [77, 0.0], [169, 0.0]]
347,30,[[78, -1.0], [75, -1.0], [8, -1.0], [163, -1.0], [89, 1.0], [202, 1.0], [82, -1.0], [68, -1.0], [203, -1.0], [121, 1.0], [166, 0.5], [20, 1.0], [151, 0.5], [110, -1.0], [87, 1.0], [198, 1.0], [85, 0.0], [162, 0.0], [108, 0.0], [167, 0.0], [205, -0.5], [159, 0.0], [50, 1.0], [214, -1.0], [42, 0.0], [147, -1.0], [212, -1.0], [211, 1.0], [199, 0.5], [195, 0.0]]
740,30,[[78, 0.5], [154, -1.0], [87, -1.0], [79, 1.0], [160, -1.0], [73, -0.5], [204, -1.0], [85, -1.0], [62, 1.0], [167, 0.5], [70, -1.0], [67, 0.5], [190, 1.0], [63, 0.5], [16, 0.5], [53, -1.0], [46, 0.5], [142, 0.0], [81, 0.0], [214, 0.0], [64, 0.5], [110, -1.0], [140, -1.0], [152, 0.0], [116, 0.0], [146, 0.0], [165, -1.0], [69, 0.0], [144, -1.0], [207, 1.0]]
248,30,[[78, -1.0], [75, 0.5], [99, -1.0], [216, 1.0], [13, -1.0], [8, -1.0], [10, -0.5], [110, -1.0], [103, 1.0], [48, 1.0], [210, 1.0], [170, 1.0], [22, 1.0], [62, -1.0], [67, 1.0], [57, 1.0], [156, 1.0], [181, 1.0], [148, -0.5], [123, 1.0], [208, 1.0], [33, 1.0], [91, 0.0], [211, 1.0], [195, 1.0], [185, -1.0], [179, -1.0], [1, 0.5], [212, 0.0], [163, 1.0]]
